id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
alphakek-ai,aikek,AlphaKEK.AI,0.01996168,4737293,2189,4737293,13842.92,0.02035857,0.01895972,0.00094516,4.97023,155917,3.40329,237319317.29878262,237319317.29878262,256000000.0,0.059969,-66.78491,2025-01-14T10:05:17.748Z,0.00190911,943.34974,2024-08-15T04:44:39.921Z,2025-07-11T13:51:32.918Z
altura,alu,Altura,0.00401663,3964807,2327,3964807,5537007,0.00508916,0.00403687,-0.000760245461331621,-15.91511,-783867.3515936965,-16.50708,990000000.0,990000000.0,990000000.0,0.462652,-99.11632,2021-11-03T05:27:14.786Z,0.00255407,60.07338,2021-07-19T14:10:53.841Z,2025-07-11T13:52:36.098Z
all-the-money,atm,All The Money,3.915e-05,3562724,2442,3875930,73096,3.95e-05,3.361e-05,5.54e-06,16.47167,481960,15.64418,91000000000.0,99000000000.0,99000000000.0,3.999e-05,-1.78321,2025-07-04T13:00:11.625Z,3.064e-05,28.1848,2025-06-30T10:03:20.492Z,2025-07-11T13:51:56.249Z
alpaca-finance,alpaca,Alpaca Finance,0.02347486,3558378,2461,3558378,14238880,0.02809955,0.01286957,0.01055722,81.72719,1599178,81.624,151668641.6027096,151668641.6027096,188000000.0,8.78,-99.73904,2021-03-06T00:42:02.012Z,0.01219893,87.7206,2025-07-06T00:00:36.028Z,2025-07-11T13:51:55.106Z
alltoscan,ats,Alltoscan,0.04406482,3005732,2611,4405744,100023,0.04422949,0.04308711,6.329e-05,0.14384,1831.22,0.06096,68223034.50868997,100000000.0,100000000.0,2.48,-98.22089,2024-04-20T12:46:20.284Z,0.04137651,6.51455,2025-04-15T14:22:37.333Z,2025-07-11T13:51:48.444Z
alphbanx,abx,AlphBanX,0.03506415,2998366,2614,3476387,4037.11,0.03743889,0.03455117,-0.001716284480633837,-4.6663,-167685.73377834354,-5.29637,86249500.0,100000000.0,100000000.0,0.295987,-88.25494,2024-12-26T00:08:52.187Z,0.03427216,1.43473,2025-03-11T07:26:41.023Z,2025-07-11T13:52:41.920Z
all-will-retire,awr,All Will Retire,0.00277527,2663792,2727,2760440,755876,0.00284254,0.00246288,0.00021615,8.44644,211757,8.63595,964669870.25357,999669870.25357,999999999.0,0.01505533,-81.65865,2025-01-25T20:10:56.387Z,0.0003407,710.49999,2025-01-14T21:45:09.906Z,2025-07-11T13:51:51.455Z
altair,air,Altair,0.00640645,2524972,2782,3034929,93773,0.0065324,0.00585718,0.00049645,8.40012,195776,8.40533,394129448.0,473730000.0,,0.157422,-95.91991,2022-02-09T17:42:07.235Z,0.00379468,69.26175,2023-09-06T05:10:39.053Z,2025-07-11T13:52:06.173Z
amiko,amiko,Amiko,0.00276198,2093191,2983,2776854,11065.62,0.00279016,0.00257578,0.0001746,6.74829,142833,7.32341,753799090.550262,999999317.216929,1000000000.0,0.00812094,-65.63806,2025-05-27T13:42:27.963Z,0.00227619,22.59558,2025-07-07T20:20:57.941Z,2025-07-11T13:53:16.604Z
allbridge,abr,Allbridge,0.073268,1465689,3382,7090874,659.99,0.074291,0.073025,-0.000290894527783969,-0.39546,-5758.905606429325,-0.39138,20004523.1141632,96780127.0,100000000.0,9.66,-99.24141,2021-10-04T22:09:54.959Z,0.00778054,841.67984,2023-11-16T03:32:14.459Z,2025-07-11T13:51:56.101Z
alchemist,mist,Alchemist,0.529193,1321845,3487,1321845,2.95,0.532597,0.518827,0.00603361,1.1533,20103,1.54432,2497848.916965104,2497848.916965104,,225.39,-99.76521,2021-04-26T12:03:04.025Z,0.272508,94.19331,2025-04-09T01:32:05.747Z,2025-07-10T20:21:01.209Z
alphabet-xstock,googlx,Alphabet xStock,177.75,1283930,3517,1948458,18667396,178.43,174.89,2.86,1.63558,13165.6,1.03604,7248.29020538,10999.81141359,,208.44,-15.13001,2025-07-02T10:53:42.643Z,169.43,4.40633,2025-07-02T11:04:28.597Z,2025-07-11T13:52:36.552Z
alf-token,alf,ALF TOKEN,2e-08,1258647,3541,1376448,9343.4,2.0126e-08,1.7687e-08,2.313e-09,13.07587,142903,12.80788,63094748666652.664,69000000000000.0,69000000000000.0,4.9617e-08,-59.71228,2025-05-11T02:40:27.401Z,3.448e-09,479.67353,2025-03-16T11:54:33.143Z,2025-07-11T13:53:08.416Z
alongside-crypto-market-index,amkt,Alongside Crypto Market Index,317.7,1122555,3680,1122555,437.49,321.24,295.46,18.77,6.28085,58152,5.4633,3533.387587618091,3533.387587618091,,358.55,-11.32955,2025-05-19T19:05:14.448Z,66.74,376.35527,2023-01-13T08:09:49.461Z,2025-07-11T13:48:25.972Z
amaterasu,ama,Amaterasu,0.00830543,830543,4035,830543,778.67,0.00842524,0.00807669,0.00021971,2.71732,21971,2.71732,100000000.0,100000000.0,100000000.0,0.071467,-88.37859,2024-12-18T18:54:36.533Z,0.0056162,47.88343,2025-04-07T07:02:33.701Z,2025-07-11T13:31:34.063Z
